Code	NameZh	CategoryZh	Note
ItKe_CaptainShip	船长室钥匙	钥匙	THGL候选|item_it_ke_captain_ship
ItKe_Cavalorn_01	卡瓦隆的钥匙	钥匙	THGL候选|item_it_ke_cavalorn_01
ItKe_CellarCages_01	地窖钥匙	钥匙	THGL候选|item_it_ke_cellar_cages_01
ItKe_Dungeonkey	地牢钥匙	钥匙	THGL候选|item_it_ke_dungeonkey
ItKe_FireMagesRoom	火法师的房间钥匙	钥匙	THGL候选|item_it_ke_fire_mages_room
ItKe_FiskStorage	菲斯克的储藏箱钥匙	钥匙	THGL候选|item_it_ke_fisk_storage
ItKe_Focus_04	钥匙	钥匙	THGL候选|item_it_ke_focus_04
ItKe_Focus_05	钥匙	钥匙	THGL候选|item_it_ke_focus_05
ItKe_FocusStone	Focus Stone	钥匙	THGL候选|item_it_ke_focus_stone
ItKe_Freemine	钥匙	钥匙	THGL候选|item_it_ke_freemine
ItKe_Gomez_01	葛梅兹的钥匙	钥匙	THGL候选|item_it_ke_gomez_01
ItKe_GomezCastleMaster	葛梅兹的主钥匙	钥匙	THGL候选|item_it_ke_gomez_castle_master
ItKe_GraveyardLever	兽人的杠杆	钥匙	THGL候选|item_it_ke_graveyard_lever
ItKe_Kalom_01	实验室钥匙	钥匙	THGL候选|item_it_ke_kalom_01
ItKe_LeeDoor	李的钥匙	钥匙	THGL候选|item_it_ke_lee_door
ItKe_LootCage_01	交易区钥匙	钥匙	THGL候选|item_it_ke_loot_cage_01
ItKe_MerchantCellarDoor	桑蒂诺的钥匙	钥匙	THGL候选|item_it_ke_merchant_cellar_door
ItKe_Om_02	箱子钥匙（阿伦）	钥匙	THGL候选|item_it_ke_om_02
ItKe_Om_03	箱子钥匙	钥匙	THGL候选|item_it_ke_om_03
ItKe_OrcGraveyard	兽人墓地钥匙	钥匙	THGL候选|item_it_ke_orc_graveyard
ItKe_OrcGraveyardPiece_01	半把钥匙	钥匙	THGL候选|item_it_ke_orc_graveyard_piece_01
ItKe_OrcGraveyardPiece_02	半把钥匙	钥匙	THGL候选|item_it_ke_orc_graveyard_piece_02
ItKe_Quentin_01	不法之徒藏宝洞钥匙	钥匙	THGL候选|item_it_ke_quentin_01
ItKe_RavenTower	瑞文的塔楼钥匙	钥匙	THGL候选|item_it_ke_raven_tower
ItKe_Ricelord_01	稻田主的钥匙	钥匙	THGL候选|item_it_ke_ricelord_01
ItKe_Smith_01	铁钥匙	钥匙	THGL候选|item_it_ke_smith_01
ItKe_Storage_01	储藏钥匙	钥匙	THGL候选|item_it_ke_storage_01
ItKe_Sunkentower	箱子钥匙	钥匙	THGL候选|item_it_ke_sunkentower
ItKe_TavernDoor	酒馆钥匙	钥匙	THGL候选|item_it_ke_tavern_door
ItKe_Tower_01	破塔钥匙	钥匙	THGL候选|item_it_ke_tower_01
ItAm_Arrow	箭	杂项	THGL候选|item_it_am_arrow
ItAm_Bolt	弩箭	杂项	THGL候选|item_it_am_bolt
ItKe_Lockpick	开锁工具	杂项	THGL候选|item_it_ke_lockpick
ItLs_Torch	火炬	杂项	THGL候选|item_it_ls_torch
ItLs_Torchburned	火炬（已用尽）	杂项	THGL候选|item_it_ls_torchburned
ItMi_Alchemy_Moleratlubric_01	鼹鼠油脂	杂项	THGL候选|item_it_mi_alchemy_moleratlubric_01
ItMi_Alchemy_Syranoil_01	西利安油	杂项	THGL候选|item_it_mi_alchemy_syranoil_01
ItMi_Candle_01	蜡烛	杂项	THGL候选|item_it_mi_candle_01
ItMi_Coop	木勺	杂项	THGL候选|item_it_mi_coop
ItMi_Hammer	锤	杂项	THGL候选|item_it_mi_hammer
ItMi_Inscription_Parchment	羊皮纸	杂项	THGL候选|item_it_mi_inscription_parchment
ItMi_JudgeHat	法官帽	杂项	THGL候选|item_it_mi_judge_hat
ItMi_Lute	鲁特琴	杂项	THGL候选|item_it_mi_lute
ItMi_Oldcoin_01	硬币	杂项	THGL候选|item_it_mi_oldcoin_01
ItMi_Specialjoint	准备好的梦之呼唤	杂项	THGL候选|item_it_mi_specialjoint
ItMi_Stomper	捣烟草器	杂项	THGL候选|item_it_mi_stomper
ItMi_Stuff_Alarmhorn	号角	杂项	THGL候选|item_it_mi_stuff_alarmhorn
ItMi_Stuff_Amphore_01	双耳瓶	杂项	THGL候选|item_it_mi_stuff_amphore_01
ItMi_Stuff_Barbknife_01	剃刀	杂项	THGL候选|item_it_mi_stuff_barbknife_01
ItMi_Stuff_Brush	刷子	杂项	THGL候选|item_it_mi_stuff_brush
ItMi_Stuff_Candlestick_01	烛台	杂项	THGL候选|item_it_mi_stuff_candlestick_01
ItMi_Stuff_Cup_01	平底杯	杂项	THGL候选|item_it_mi_stuff_cup_01
ItMi_Stuff_Cup_02	高脚杯	杂项	THGL候选|item_it_mi_stuff_cup_02
ItMi_Stuff_Gearwheel_01	齿轮	杂项	THGL候选|item_it_mi_stuff_gearwheel_01
ItMi_Stuff_Idologront_01	雕像	杂项	THGL候选|item_it_mi_stuff_idologront_01
ItMi_Stuff_Idolsleeper_01	塑像	杂项	THGL候选|item_it_mi_stuff_idolsleeper_01
ItMi_Stuff_Mug_01	壶	杂项	THGL候选|item_it_mi_stuff_mug_01
ItMi_Stuff_Pan_01	平底锅	杂项	THGL候选|item_it_mi_stuff_pan_01
ItMi_Stuff_Pipe_01	烟斗	杂项	THGL候选|item_it_mi_stuff_pipe_01
ItMi_Stuff_Plate_01	盘子	杂项	THGL候选|item_it_mi_stuff_plate_01
ItMi_Stuff_Silverware_01	餐具	杂项	THGL候选|item_it_mi_stuff_silverware_01
ItMi_UrizielGem_01	裂世	杂项	THGL候选|item_it_mi_uriziel_gem_01
ItMi_UrizielGem_02	启明	杂项	THGL候选|item_it_mi_uriziel_gem_02
ItMi_UrizielGem_03	时裂	杂项	THGL候选|item_it_mi_uriziel_gem_03
ItMi_UrizielGem_04	魔瞳	杂项	THGL候选|item_it_mi_uriziel_gem_04
ItMi_UrizielGem_05	镇石	杂项	THGL候选|item_it_mi_uriziel_gem_05
ItMi_Wedel	棕榈叶扇子	杂项	THGL候选|item_it_mi_wedel
ItMi_whistle	whistle	杂项	THGL候选|item_it_mi_whistle
ItMs_Ashes	伊·贝里恩的骨灰	杂项	THGL候选|item_it_ms_ashes
ItMs_Axe_Bran	布兰的斧头	杂项	THGL候选|item_it_ms_axe_bran
ItMs_Demonprank	恶魔袭击	杂项	THGL候选|item_it_ms_demonprank
ItMs_DraxHunterKnife	猎人的刀	杂项	THGL候选|item_it_ms_drax_hunter_knife
ItMs_ExplosionBarrel	爆炸物桶	杂项	THGL候选|item_it_ms_explosion_barrel
ItMs_ExplosionScroll	爆裂卷轴	杂项	THGL候选|item_it_ms_explosion_scroll
ItMs_FakeDiggerClothes	伪装用的矿工服	杂项	THGL候选|item_it_ms_fake_digger_clothes
ItMs_Focus_01	海上悬崖的聚魔石	杂项	THGL候选|item_it_ms_focus_01
ItMs_Focus_02	巨魔谷的聚魔石	杂项	THGL候选|item_it_ms_focus_02
ItMs_Focus_03	高山堡垒的聚魔石	杂项	THGL候选|item_it_ms_focus_03
ItMs_Focus_04	修道院遗迹的聚魔石	杂项	THGL候选|item_it_ms_focus_04
ItMs_Focus_05_FocusMachine	Focus_05_Focus Machine	杂项	THGL候选|item_it_ms_focus_05_focus_machine
ItMs_Focus_05	石圈的聚魔石	杂项	THGL候选|item_it_ms_focus_05
ItMs_Glossary	词汇表	杂项	THGL候选|item_it_ms_glossary
ItMs_Lightbringer	光辉之刃	杂项	THGL候选|item_it_ms_lightbringer
ItMs_Remedy	疗方	杂项	THGL候选|item_it_ms_remedy
ItMs_ScavengerWhistle	食尸鸟哨子	杂项	THGL候选|item_it_ms_scavenger_whistle
ItMs_Spellblade	放逐之刃	杂项	THGL候选|item_it_ms_spellblade
ItMS_SunkenTowerStone_01	塔楼之石 I	杂项	THGL候选|item_it_ms_sunken_tower_stone_01
ItMS_SunkenTowerStone_02	塔楼之石 II	杂项	THGL候选|item_it_ms_sunken_tower_stone_02
ItMs_Timeblade	时间之刃	杂项	THGL候选|item_it_ms_timeblade
ItMs_ToyMaker_000	木制玩具	杂项	THGL候选|item_it_ms_toy_maker_000
ItMs_ToyMaker_001	木制玩具	杂项	THGL候选|item_it_ms_toy_maker_001
ItMs_ToyMaker_005	木制玩具	杂项	THGL候选|item_it_ms_toy_maker_005
ItMs_ToyMaker_007	木制玩具	杂项	THGL候选|item_it_ms_toy_maker_007
ItMs_ToyMaker_009	木制玩具	杂项	THGL候选|item_it_ms_toy_maker_009
ItMs_ToyMaker_013	木制玩具	杂项	THGL候选|item_it_ms_toy_maker_013
ItMs_Uriziel	奇怪的剑	杂项	THGL候选|item_it_ms_uriziel
ItMs_Winch	分离的绞盘	杂项	THGL候选|item_it_ms_winch
ItMs_Worldsplitter	裂世者	杂项	THGL候选|item_it_ms_worldsplitter
ItFo_Potion_Dex_01	灵巧精华液	药水	THGL候选|item_it_fo_potion_dex_01
ItFo_Potion_Dex_02	灵巧萃取液	药水	THGL候选|item_it_fo_potion_dex_02
ItFo_Potion_Dex_03	灵巧神药	药水	THGL候选|item_it_fo_potion_dex_03
ItFo_Potion_Haste_01	迅捷药水	药水	THGL候选|item_it_fo_potion_haste_01
ItFo_Potion_Haste_02	速度药水	药水	THGL候选|item_it_fo_potion_haste_02
ItFo_Potion_Haste_03	加速药水	药水	THGL候选|item_it_fo_potion_haste_03
ItFo_Potion_Health_01	治疗精华液	药水	THGL候选|item_it_fo_potion_health_01
ItFo_Potion_Health_02	治疗萃取液	药水	THGL候选|item_it_fo_potion_health_02
ItFo_Potion_Health_03	治疗神药	药水	THGL候选|item_it_fo_potion_health_03
ItFo_Potion_Health_Perma_01	生命精华液	药水	THGL候选|item_it_fo_potion_health_perma_01
ItFo_Potion_Health_Perma_02	生命萃取液	药水	THGL候选|item_it_fo_potion_health_perma_02
ItFo_Potion_Health_Perma_03	生命神药	药水	THGL候选|item_it_fo_potion_health_perma_03
ItFo_Potion_Health_Quick	快速治疗药水	药水	THGL候选|item_it_fo_potion_health_quick
ItFo_Potion_Mana_02	魔法能量萃取液	药水	THGL候选|item_it_fo_potion_mana_02
ItFo_Potion_Mana_03	魔法能量神药	药水	THGL候选|item_it_fo_potion_mana_03
ItFo_Potion_Mana_Perma_01	精神精华液	药水	THGL候选|item_it_fo_potion_mana_perma_01
ItFo_Potion_Mana_Perma_02	精神萃取液	药水	THGL候选|item_it_fo_potion_mana_perma_02
ItFo_Potion_Mana_Perma_03	精神神药	药水	THGL候选|item_it_fo_potion_mana_perma_03
ItFo_Potion_Master_01	威力药水	药水	THGL候选|item_it_fo_potion_master_01
ItFo_Potion_Master_02	至尊药水	药水	THGL候选|item_it_fo_potion_master_02
ItFo_Potion_Orcmedicine	兽族药剂	药水	THGL候选|item_it_fo_potion_orcmedicine
ItFo_Potion_Strength_01	力量精华液	药水	THGL候选|item_it_fo_potion_strength_01
ItFo_Potion_Strength_02	力量萃取液	药水	THGL候选|item_it_fo_potion_strength_02
ItFo_Potion_Strength_03	力量神药	药水	THGL候选|item_it_fo_potion_strength_03
ItAt_Ring_Enlight	启蒙之戒	戒指	THGL候选|item_it_at_ring_enlight
ItAt_Ring_Fire_01	火焰防护之戒	戒指	THGL候选|item_it_at_ring_fire_01
ItAt_Ring_Fire_02	防火之戒	戒指	THGL候选|item_it_at_ring_fire_02
ItAt_Ring_Life_01	生命之戒	戒指	THGL候选|item_it_at_ring_life_01
ItAt_Ring_Life_02	强效生命之戒	戒指	THGL候选|item_it_at_ring_life_02
ItAt_Ring_Magic_01	魔法之戒	戒指	THGL候选|item_it_at_ring_magic_01
ItAt_Ring_Magic_02	精神力之戒	戒指	THGL候选|item_it_at_ring_magic_02
ItAt_Ring_Magic_03	防御之戒	戒指	THGL候选|item_it_at_ring_magic_03
ItAt_Ring_Magicfire_01	净化之戒	戒指	THGL候选|item_it_at_ring_magicfire_01
ItAt_Ring_Magicfire_02	无敌之戒	戒指	THGL候选|item_it_at_ring_magicfire_02
ItAt_Ring_Mordrag	莫德拉格的戒指	戒指	THGL候选|item_it_at_ring_mordrag
ItAt_Ring_Power	战士的威力之戒	戒指	THGL候选|item_it_at_ring_power
ItAt_Ring_Projectile_01	木皮肤之戒	戒指	THGL候选|item_it_at_ring_projectile_01
ItAt_Ring_Projectile_02	石头皮肤之戒	戒指	THGL候选|item_it_at_ring_projectile_02
ItAt_Ring_Ranged_01	坚定之戒	戒指	THGL候选|item_it_at_ring_ranged_01
ItAt_Ring_Ranged_02	弹劾之戒	戒指	THGL候选|item_it_at_ring_ranged_02
ItAt_Ring_Scatty	斯卡蒂的戒指	戒指	THGL候选|item_it_at_ring_scatty
ItAt_Ring_Skill_01	低效灵巧之戒	戒指	THGL候选|item_it_at_ring_skill_01
ItAt_Ring_Skill_02	强效灵巧之戒	戒指	THGL候选|item_it_at_ring_skill_02
ItAt_Ring_Strong_01	威力之戒	戒指	THGL候选|item_it_at_ring_strong_01
ItAt_Ring_Strong_02	强壮之戒	戒指	THGL候选|item_it_at_ring_strong_02
ItAt_Ring_Total_01	低效无敌之戒	戒指	THGL候选|item_it_at_ring_total_01
ItAt_Ring_Total_02	强效无敌之戒	戒指	THGL候选|item_it_at_ring_total_02
ItAt_Ring_Weapon_01	铁皮肤之戒	戒指	THGL候选|item_it_at_ring_weapon_01
ItAt_Ring_Weapon_02	矿石皮肤之戒	戒指	THGL候选|item_it_at_ring_weapon_02
ItAr_Rune_BallLightning	球状闪电	符石	THGL候选|item_it_ar_rune_ball_lightning
ItAr_Rune_BreathOfDeath	死亡之息	符石	THGL候选|item_it_ar_rune_breath_of_death
ItAr_Rune_ChainLightning	连锁闪电	符石	THGL候选|item_it_ar_rune_chain_lightning
ItAr_Rune_Charm	魅惑	符石	THGL候选|item_it_ar_rune_charm
ItAr_Rune_Control	控制	符石	THGL候选|item_it_ar_rune_control
ItAr_Rune_DeathToTheUndead	灭杀亡灵	符石	THGL候选|item_it_ar_rune_death_to_the_undead
ItAr_Rune_FireBall	火球	符石	THGL候选|item_it_ar_rune_fire_ball
ItAr_Rune_FireBolt	火焰箭	符石	THGL候选|item_it_ar_rune_fire_bolt
ItAr_Rune_FireRain	火雨	符石	THGL候选|item_it_ar_rune_fire_rain
ItAr_Rune_FistOfWind	风之拳	符石	THGL候选|item_it_ar_rune_fist_of_wind
ItAr_Rune_Heal	治疗	符石	THGL候选|item_it_ar_rune_heal
ItAr_Rune_IceBlock	冰块	符石	THGL候选|item_it_ar_rune_ice_block
ItAr_Rune_IceBolt	冰箭	符石	THGL候选|item_it_ar_rune_ice_bolt
ItAr_Rune_IceWave	寒冰波浪	符石	THGL候选|item_it_ar_rune_ice_wave
ItAr_Rune_Light	亮光	符石	THGL候选|item_it_ar_rune_light
ItAr_Rune_Pyrokinesis	意念控火	符石	THGL候选|item_it_ar_rune_pyrokinesis
ItAr_Rune_Sleep	催眠	符石	THGL候选|item_it_ar_rune_sleep
ItAr_Rune_StormFist	风暴之拳	符石	THGL候选|item_it_ar_rune_storm_fist
ItAr_Rune_StormOfFire	烈火风暴	符石	THGL候选|item_it_ar_rune_storm_of_fire
ItAr_Rune_Telekinesis	念力	符石	THGL候选|item_it_ar_rune_telekinesis
ItAr_Rune_TeleportToMagiciansOfFire	传送至火法师	符石	THGL候选|item_it_ar_rune_teleport_to_magicians_of_fire
ItAr_Rune_TeleportToMagiciansOfWater	传送至水法师	符石	THGL候选|item_it_ar_rune_teleport_to_magicians_of_water
ItAr_Rune_TeleportToNecromancer	传送至死灵法师	符石	THGL候选|item_it_ar_rune_teleport_to_necromancer
ItAr_Rune_TeleportToSunkenTower	“传送至沉没的塔”符文	符石	THGL候选|item_it_ar_rune_teleport_to_sunken_tower
ItAr_Rune_TeleportToSwampCamp	传送至沼泽营地	符石	THGL候选|item_it_ar_rune_teleport_to_swamp_camp
ItAr_Rune_Uriziel	Rune_Uriziel	符石	THGL候选|item_it_ar_rune_uriziel
ItAr_Rune_UrizielWaveOfDeath	尤里泽尔的死亡波浪	符石	THGL候选|item_it_ar_rune_uriziel_wave_of_death
ItAr_Scroll_BallLightning	球状闪电	卷轴	THGL候选|item_it_ar_scroll_ball_lightning
ItAr_Scroll_ChainLightning	连锁闪电	卷轴	THGL候选|item_it_ar_scroll_chain_lightning
ItAr_Scroll_Charm	魅惑	卷轴	THGL候选|item_it_ar_scroll_charm
ItAr_Scroll_Control	控制	卷轴	THGL候选|item_it_ar_scroll_control
ItAr_Scroll_DeathToTheUndead	灭杀亡灵	卷轴	THGL候选|item_it_ar_scroll_death_to_the_undead
ItAr_Scroll_Fear	恐惧	卷轴	THGL候选|item_it_ar_scroll_fear
ItAr_Scroll_FireBall	火球	卷轴	THGL候选|item_it_ar_scroll_fire_ball
ItAr_Scroll_FireBolt	火焰箭	卷轴	THGL候选|item_it_ar_scroll_fire_bolt
ItAr_Scroll_FireRain	火雨	卷轴	THGL候选|item_it_ar_scroll_fire_rain
ItAr_Scroll_FistOfWind	风之拳	卷轴	THGL候选|item_it_ar_scroll_fist_of_wind
ItAr_Scroll_Heal	治疗	卷轴	THGL候选|item_it_ar_scroll_heal
ItAr_Scroll_IceBlock	冰块	卷轴	THGL候选|item_it_ar_scroll_ice_block
ItAr_Scroll_IceBolt	冰箭	卷轴	THGL候选|item_it_ar_scroll_ice_bolt
ItAr_Scroll_IceWave	寒冰波浪	卷轴	THGL候选|item_it_ar_scroll_ice_wave
ItAr_Scroll_InnosPray	向伊诺斯祈祷	卷轴	THGL候选|item_it_ar_scroll_innos_pray
ItAr_Scroll_Light	亮光	卷轴	THGL候选|item_it_ar_scroll_light
ItAr_Scroll_Pyrokinesis	控火	卷轴	THGL候选|item_it_ar_scroll_pyrokinesis
ItAr_Scroll_Shrink	缩小怪物	卷轴	THGL候选|item_it_ar_scroll_shrink
ItAr_Scroll_Sleep	催眠	卷轴	THGL候选|item_it_ar_scroll_sleep
