Id	GroupZh	GroupEn	NameZh	NameEn	X	Y	Z
tp094	旧城	Old Camp	旧城-内层铁匠	Old Camp - Inner Ring Blacksmith	109173	-101356	-3644
tp095	新营地	New Camp	新营地-法师圆桌	New Camp - Mage Round Table	179612	-101078	730
tp096	山谷	Valley	山谷-营地昆汀	Valley - Quentin's Camp	124218	-64652	2605
tp097	野外	Wilderness	野外-左上洞穴	Wilderness - Northwest Cave	155184	-51602	3884
tp098	殖民地	Colony	殖民地-法师塔萨达	Colony - Mage Tower Sada	125929	-143087	1833
tp099	新营地	New Camp	新营地-杰科+基利安	New Camp - Jacko + Killian	170206	-109198	-3736
tp100	新营地	New Camp	新营地-沃尔夫	New Camp - Wolf	184580	-93338	3171
tp101	新营地	New Camp	新营地-自由矿井	New Camp - Free Mine	168653	-125960	429
tp102	新营地	New Camp	新营地-塔罗克（主线）	New Camp - Tarrok (Main Quest)	157598	-137879	-4383
tp103	新营地	New Camp	新营地-波克+稻田主+左撇子	New Camp - Pock + Rice Lord + Lefty	164274	-89725	-1918
tp104	兽人	Orc Territory	兽人-乌尔·沙克 / Ur-Shak	Orc Territory - Ur-Shak	141352	-132989	-849
tp105	兽人	Orc Territory	兽人-托·丘尔纳格 / To-Churnagg	Orc Territory - To-Churnagg	145449	-129249	337
tp106	兽人	Orc Territory	兽人-克拉肖克 / Krashok	Orc Territory - Krashok	138604	-133885	-867
tp107	兽人	Orc Territory	兽人-穆克 / Muk	Orc Territory - Muk	140022	-136681	221
tp108	兽人	Orc Territory	兽人-乌尔·纳兹克罗格 / Ur-Nazkrog	Orc Territory - Ur-Nazkrog	138175	-135950	-824
